Code,Article,Description,Price ,Department
6158N,10683033,EMCX-SUPER DOUGH FLOWER MAKER 6158N,"49,900 ",EDUCATION CONSIGNMENT
6074877,10684902,MELI-WATER WOW VEHICLES 6074877,"99,900 ",EDUCATION CONSIGNMENT
6074878,10685164,MELI-WATER WOW ANIMALS 6074878,"99,900 ",EDUCATION CONSIGNMENT
6074889,10684901,MELI-WATER WOW FAIRY TALE 6074889,"99,900 ",EDUCATION CONSIGNMENT
6074888,10684900,MELI-WATER WOW FARM 6074888,"99,900 ",EDUCATION CONSIGNMENT
15098,10685168,STTH-SQUISH HERO BLIND BAG 15098,"79,900 ",BOYS CONSIGNMENT
15097,10685167,STTH-BOBBLE HERO BLIND BOX 15097,"149,900 ",BOYS CONSIGNMENT
15330,10685166,STTH-POCKET HERO WINDOW BOX 15330,"149,900 ",BOYS CONSIGNMENT
15099,10685165,STTH-UPSIDE DOWN CAPSULE SERIES 3 15099,"279,900 ",BOYS CONSIGNMENT
6074884,10684904,MELI-GET WELL DRS KIT PLAYSET 6074884,"699,900 ",BABIES CONSIGNMENT
6074883,10684905,MELI-EXAMINE N TREAT VET PLAYSET 6074883,"699,900 ",BABIES CONSIGNMENT
6074886,10684903,MELI-SUPER SMILE DENTIST PLAYSET 6074886,"699,900 ",BABIES CONSIGNMENT
6074905,10685037,MELI-SCOOP N SERVE ICE CREAM 6074905,"1,199,900 ",BABIES CONSIGNMENT
6074890,10685038,MELI-TOP N BAKE PIZZA COUNTER 6074890,"1,199,900 ",BABIES CONSIGNMENT
6074860,10685039,MELI-SLICE N STACK SANDWICH 6074860,"1,499,900 ",BABIES CONSIGNMENT
6157N,10683032,EMCX-SUPER DOUGH FLWR MAKING BSKT 6157N,"199,900 ",EDUCATION CONSIGNMENT
JCB47,10683073,HOTW-DIECAST ADVENT CALENDAR JCB47,"399,900 ",BOYS CONSIGNMENT
JBM72,10683072,HOTW-CITY ULTIMATE DUAL DRAG TRANS JBM72,"899,900 ",BOYS CONSIGNMENT
JGB60,10683755,JRWD-MICRO ADV ULTIIMATE MOSASAURU JGB60,"799,900 ",BOYS CONSIGNMENT
